,category,datetime,title,content
0,잡담,2014-10-24 15:46:09,[필독] 주식한당 이용규칙 및 주의사항,"안녕하세요. 
   주식한당 관리자입니다. 
  

      
  

    주식한당 이용 관련된 안내 및 주의사항입니다. 
  

      
  

1. 주식한당은 클리앙 소모임으로써 클리앙의 
   사이트 이용규칙을 준수합니다. 
  

  
  

    2. 투자에 대한 판단도 선택도 결정도 책임도 모두 본인의 몫입니다. 
  

      
  

      
  

    3. 주식한당에서 게시된 글은 투자판단의 참고사항입니다. 
  

      
  

      
  

    4. 타인의 의견을 존중하고, 기만하지 않으며, 언제나 상호간에 예의를 지킵니다. 
  

      
  

      
  

    5. 아래와 같은 내용의 게시물을 기재 시 임의로 수정 및 삭제합니다. 
  

      
  

       - 클리앙의 
   사이트 이용규칙에 어긋나는 게시물. 
  

      
  

       - 투자 권유 및 영리의 목적을 가진 경우. 
  

      
  

       - 회원 모집 또는 광고의 목적으로 사용된 경우.  
  

      
  

       - 게시물에 연락처(전화번호 및 E-Mail, Messenger ID, 단체 채팅방 등)를 기재한 경우. 
  
   - 게시물 분류에 대한 문의 및 수정 요청(댓글 및 쪽지)에 미응답 및 미수정으로 방치될 경우나 재차 게시물을 올릴 경우.




       - 지나치게 불안감을 조성하여 혼란을 줄 수 있는 경우. (ex)정치글, 선동글 등) 
  


      
  

      
  

    6. 게시물 등록 및 이용사항 
  

      
  

       - 업체에서 발행한 자료를 게시물에 올릴 경우 작성자, 기관명 외 연락처, 이메일은 표기할 수 없습니다. 
  

      
  


        - 단 첨부파일과 같이 사용자가 파일을 열어야 볼 수 있는 경우, 그 파일 속 자료에는 연락처, 이메일을 표기할 수 있습니다. 
   

       
   

        - 게시물 분류글 중 [뉴스] 인 경우 클리앙의 '새로운 소식 게시판' 이용규칙을 따릅니다. 
   

       
   

        - 게시물 분류에 따른 규칙은 주식한당 내부 규칙에 따릅니다. 
   
 





    기타 문의 및 건의 사항이 있으시면 관리자에게 연락해주세요. :-) 
  

      
  

    (수정: 2014.12.01 ' 
   고배당 -> 주식한당' 으로 변경)


(점검: 2020.06.05 - 다크모드 적용 테스트)
(수정: 2020.04.16 - '[중요] 댓글이 달린 게시물은 삭제할 수 없습니다.' 공지 제외. (사유: 클리앙 시스템 개편으로 기능 잠시 정지))
(수정: 2020.04.05 - '추천·주의' 와 '정보분석'의 이름을 '종목분석' 과 '시장분석'으로 변경 및 위치 조정)
(수정: 2020.03.27 - 게시물 분류에 '짜라시' 항목 삭제)
(수정: 2020.03.26 - '가입인사' 와 '이용규칙 및 주의사항'을 '주식한당 가입인사 및 활동안내'로 통합공지)
(수정: 2020.03.26 - [가입인사] 공지에서 제외)

(수정: 2020.03.17 - 규칙 5. 게시물 위반류에 대한 항목 추가)


(수정: 2019.07.10 - 규칙 5, 6. 게시물 분류 위반에 대한 항목 추가)


(수정: 2016.07.22 - '[필독] 주식한당 이용하시는 주주님들께 당부 말씀드립니다.' 게시물 공지에서 제외 )

(수정: 2016.05.02 - '[공지]'는 기본 게시판 아이콘으로 대체하고, '[ ]'를 다양하게 활용함)



(수정: 2016.04.27 - 규칙 5. 게시물 이용규칙에 대한 기본되는 범위 추가)


(수정: 2015.11.14 - 규칙 6. '뉴스' 글에 대한 양식 추가)


(수정: 2015.09.07 - 규칙 5. 게시물 연락처에 'Messenger ID, 단체 채팅방' 추가)


(수정: 2015.06.30 - 규칙 4. '언제나 상호간에' 문구 추가)


(수정: 2014.11.30 - 규칙 6. 게시물 등록 및 이용사항 추가)


(수정: 2014.10.24 - 이용규칙 및 주의사항 색 편집 및 클리앙 사이트이용규칙 링크 추가)


[등록: 2014.10.15 - 소모임 고배당 관리자로 'M.D.EASY'로 임명됨, 해당 게시판 관리 권한 위임받음]

[창당: 2011.04.21 - 소모임 고배당 창당]


[최초 작성일: 2014.10.24]"
1,잡담,2020-03-27 15:14:21,[필독] 주식한당 가입인사 및 활동안내,"안녕하세요. 주식한당 관리자 M.D.EASY 입니다. :-)

소모임 주식한당 이용에 대한 안내문입니다.

1) 가입인사
링크: https://www.clien.net/service/board/cm_stock/16128670
   

2) 이용규칙 및 주의사항   
소모임 주식한당은 클리앙 소모임으로써 클리앙의 사이트 이용규칙을 준수합니다.   
링크: https://www.clien.net/service/board/cm_stock/6702492
   
   
3) 게시물 이용
모든 글은 분류를 선택을 하셔야 등록이 되며, 각 분류의 성격은 아래와 같습니다.   

잡담 : 질문을 제외한 모든 자유로운 글.

질문 : '묻는' 의도가 중심인 글.
(궁금한 것을 문의하는 글, 의견을 묻는 글, 추천해달라는 글 등)
   
뉴스 : 클량 새로운 소식과 같이 제목과 내용은 '원문의 일부'를 그대로 발취하고, '출처'가 있어야 하며, 본문에는 기사외 '사견'을 넣을 수 없는 글. 
(해외 기사인 경우 기사 원문의 의도를 해치지 않을 최소한의 번역)
   
추천·주의 => '종목분석' : '종목'을 '분석'하는 글

정보분석 => '시장분석' : '종목외'의 것을 '분석'하는 글
  
가급적 해당 분류에 맞춰서 작성 하여 주시고, 내용과 관련없는 카테고리 등록시 댓글이나 쪽지로 수정 요청드릴수 있습니다.

(수정 요청에 미수정 및 미응답 일 경우 임의 수정 및 삭제될 수 있습니다.)
   
상기 항목 외 언급되지 않은 부분은 기본적으로 클리앙 게시판 규칙에 따릅니다.
  
해당 게시물은 상시 수정 및 보완되며, 문의 사항있으시면, 언제든지 연락 부탁드립니다. :-)

- 2021-05-14 : 가입인사 링크 변경 (사유: 가입인사 댓글 초과)
 -2021-02-01 : 게시물 이용관련 인용부호로 '강조'
- 2020-07-05 : 가입인사 링크 변경 (사유: 가입인사 댓글 초과)
- 2020-04-05 11:11:11 : 분류 '추천·주의' 와 '정보분석'을 '종목분석' 과 '시장분석'으로 변경
- 2020.03.27 : 분류 '찌라시' 항목 폐쇄 (사유: 사용빈도가 낮음)
- 2020.03.27 : 최초 게시물 수정 오류로 게시물 재등록
- 2020.03.26 : 최초 게시물 작성"
2,잡담,2020-07-22 21:37:38,[중요] ‘주식 리딩방’에 대한 각별한 주의가 필요한 시점입니다.,"안녕하세요. 주식한당 관리자입니다.

금감원은 최근 주식 투자에 대한 관심이 높아지면서, 투자 경험이 부족한 일반인들에게 고수익을 미끼로 유혹하는 일명 '리딩방'이 성행하고 있어 소비자경보를 발령 하였으니 투자자께서는 아래 내용을 확인하시고 각별히 주의 해주시기 바랍니다.

-  아      래  -

1. 소비자경보 주요 내용

□ 최근 개인투자자들의 주식 투자가 크게 늘고 있는 가운데, 단체대화방에서 소위 '주식 전문가(리더)'가 실시간으로 특정 종목의 주식을 매매하도록 추천하는 ‘주식 리딩방’이 성행하고 있음 * (투자자 예탁금) ’19.12월 평균 25.7조원 → ’20.6.15. 현재 45.5조원

□ 주식 리딩방은 금융 전문성이 검증되지 않은 유사투자자문업자나 일반 개인이 운영하고 있어 투자 손실 가능성이 높음에도,
○ 수익률과 종목 적중률 등 근거 없는 실적을 내세우며 수백만원에 달하는 높은 이용료를 지불하도록 유인하는 경우가 다수
○ 또한, 이용료 환불이 지연ㆍ거부되는 경우가 빈번하고, 리딩방 운영자의 추천대로 주식을 매매하였다가 주가조작과 같은 중대 형사사건에 연루되기도 함

□ 이러한 위험에도 불구하고 많은 투자자들이 높은 수익을 얻을 수 있다는 기대감에 주식 리딩방에 계속 가입할 우려가 있어 주식 리딩방에 대한 소비자 경보를 발령하게 되었음

2. 투자자 유의사항

□ 주식 리딩방은 금융위원회가 정식 허가한 금융회사가 아닌 '유사투자자문업자*'나 '일반 개인' 등이 운영
* '유사투자자문업' : 불특정 다수인을 대상으로 이메일ㆍ통신물 등을 통해 주식 등 금융투자 상품에 관한 투자조언을 제공하는 것을 업으로 영위(신고만으로 영업가능)
○ 따라서 투자자들은 리딩방 운영자들이 금융 전문성과 투자자 보호장치 등이 사전에 검증되지 않았음을 명심해야 함

□ (허위ㆍ과장광고) '최소 OO% 수익률 보장', '종목적중률 OO%' 등 객관적인 근거 없이 허위ㆍ과장된 내용을 광고하여 소비자를 유혹
【「표시ㆍ광고의 공정화에 관한 법률」제3조(부당한 표시ㆍ광고 행위의 금지) 위반】

□ (불공정한 계약체결) '고급 투자정보'를 미끼로 유료회원 계약 체결을 유도한 뒤, 이용료 환급을 거부ㆍ지연하거나 위약금을 과다 청구 【「방문판매등에관한법률」제32조(계약의해지또는해제의효과와위약금등) 등 위반】

□ (주가조작) 주식 리딩방 운영자가 추천 예정인 종목을 미리 매수한 후, 회원들에게 매수를 권유하거나 【「자본시장법」제176조(시세조종행위 등의 금지) 등 위반】

□ (무등록 투자자문) 자칭 '주식전문가'가 1:1 투자상담 등을 통해 개별적으로 특정종목 주식의 매매를 추천하는 행위는 '무등록 투자자문' 행위에 해당
【「자본시장법」제17조(미등록 영업행위의 금지) 위반】

◈ 주식 리딩방 이용 불법행위 피해 신고 방법
□ 금융감독원 유사투자자문 피해신고 (유사투자자문업자의 경우)
(인터넷) 금감원 홈페이지(www.fss.or.kr) → 민원 · 신고 → 불법금융신고센터 → 유사투자자문피해신고
(전화) ☎ (02) 3145-7692, 7632, 7633
□ 불공정거래 신고 제보센터
(인터넷) www.cybercop.or.kr
(전화) ☎ 금감원 콜센터 1332 (4번→3번)
□ 한국소비자원 [계약해지 등 계약 관련 피해 신고]
(인터넷) 소비자원 홈페이지(www.kca.go.kr) - 피해구제 - 피해구제신청
(전화) ☎ (국번없이) 1372"
3,잡담,2021-05-28 14:39:36,[일정] 2021년 06월 증시 및 분기별 일정 캘린더,"2021년 06월 증시 캘린더 입니다. 
사진을 누르면, 자세히 볼 수 있습니다.

2021년 분기별 증시 캘린더도 있습니다. :-)
https://www.clien.net/service/board/cm_stock/15725551"
4,잡담,2021-01-21 12:46:02,"[추천] 주식한당 도서, 방송, 텔레그램, 미국주식관련 사이트 목록.LINK","※도서※ 
[추천] 주식한당에서 언급된 추천도서들 입니다. -REMEDIOS님 게시물-
https://www.clien.net/service/board/cm_stock/15207733CLIEN

[추천] 추천도서 - 80권 목록 (추천 탑5 도서) -hobodon님 게시물-
https://www.clien.net/service/board/cm_stock/16028014CLIEN

※방송※ 
[추천] 주식한당에서 언급된 추천방송들 입니다.
https://www.clien.net/service/board/cm_stock/15485301CLIEN

※텔레그램※
[추천] 증권사 텔레그램 정리 -Ducktalesss님 게시물- 
https://www.clien.net/service/board/cm_stock/15818280CLIEN

※미국주식※ 
[추천] 미국주식관련 사이트 정리 -Ducktalesss님 게시물-
https://www.clien.net/service/board/cm_stock/15949746CLIEN"
5,질문,2021-06-18 00:26:24,증권방송 매일 추천하는 스윙주 담으시는분들 계신가요?,"올초 휴직하고 시간이나니 전업으로 별매매 다해보다 전 1주~2달정도 스윙이 제성향에 맞더군요

전업으로 장중대응이 가능하니 박스권오르락내리락하면 많이 오르는날 5주팔고 많이 내리는날10주사고 이런식으로 ..

여튼 시드4천중 효성티앤씨 hmm같은 주식 한천만원어치 올해 초 급등전 운좋게사서 수익좀나서 한거 빼고는 유투브나 여러 혼자종목분석해봐도 단타 스윙모두 뇌동매매하다  실패도많이하니 증권방송 여러개보다가 매X티비 매일 12시하는 주식쇼 생쇼 이거 좀 괜찮더군요 한 한달전부터 하고있는데

너무 테마주 상따단타 관점도아니고 그렇다고 너무 호흡긴 장투관점도 아니고

여튼 매일 5~6개추천받으면 종목당 대략 10~최대 백만원정도어치까지 사서 거기서말하는 1일~최대한두달잡고 1차목표가 오면 반절매도하고 너무 지지부진하면 본절치거나 약손절하는식인데 종목한10개중 7개는 맞는거같긴합니다  대부분차트상 저점에  매수추천하고 1차목표가도 5~10프로이내에서 익절해라는식이니..

종목당시드가 작아서 이래봤자 하루 매매수익 작게는 1 2만원에서~10만원 내외인데 그래도 한달사이 매매수익 5 60은 나왔네요 소액이지만..

근데 매일 새로운 주 4 5개주씩 대부분 소형주로 추천하고이러니 포트폴리오정리는 잘안되긴하네요 그래도 그제 추천받은 한전산업같은경우 다음날 거의상한가가서 소액넣었지만 하루스윙으로한 7만원벌어보니 이방송 매일 스크랩식으로 정리해가며 매매는 더적극적으로 해보고 있습니다.

개인적으로 공부하다 lg전자우선주나 바이오 코인관련주 시드크게 상따하다 한300 손절친뒤로는 종목당 소액 매일 2 3만원버는게 나은거같은

그래도  큰그림으로는 연초에 효성티앤씨 hmm급등전산거보다는 훨 감질맛나긴하네요

글이 중구난방 횡설수설됐는더 저같이 투자하시는분 있는지 궁금합니다

이런 방송 활용해 종목잘게 썰어 용돈벌이나하는게 나은건지  참 주식이란 어쩔땐돈벌기 쉬운거같으면서도 어렵고 이러네요

아 대한전선 상따로 4만원벌다 또 세게물린뒤에 이제 겁먹고 종목당 1만~최대 백만원 한 10개 굴리면서 잔돈사냥중인..  박제용으로 혼자 뇌동매매하다 또물린 대한전선 마이너스 짤방이나..."
6,잡담,2021-06-18 00:10:30,Canoo(goev) IR Day 보고 있습니다.,"생산 관련 정보들이 나왔습니다. 오클라호마에 공장을 짓고 BMW mini 생산을 하고 있는 VDL Nedcar에서 생산 파트너로 선정되었네요. 

주주로써 듣고 있는데, 아무래도 자동차업계에서 쓰는 단어들이 비슷하다보니 업무상 Conference Call하는 것처럼 일하고 있는 느낌이 자꾸 듭니다... 

*현재 canooirday.com에서 live로 볼 수 있습니다."
7,뉴스,2021-06-18 00:09:14,"이스타항공 새 주인에, 충남 건설사 ‘성정’ 사실상 확정","충남의 중견 건설업체 성정이 이스타항공을 인수한다. 17일 이스타항공에 따르면 성정은 이날 이스타항공 우선 인수권 행사 공문을 매각 주관사에 발송했고, 매각 주관사는 이를 서울회생법원에 제출했다. 성정의 공문엔 모든 조건을 쌍방울그룹이 제시한 대로 수용하겠다는 내용이 담겼다. 항공업계는 “성정의 이스타항공 인수가 사실상 확정된 것으로 봐야 한다”고 분석했다.

이스타항공 인수전은 ‘스토킹 호스(Stalking Horse)’ 방식으로 진행됐다. 한 업체에 우선 인수권을 부여하고 공개 경쟁입찰을 진행해 더 나은 조건의 인수자를 찾는 방법이다. 당초 쌍방울그룹과 하림그룹이 입찰 후보자로 물망에 올랐지만, 하림그룹이 입찰 직전 참가를 포기하면서 지난 14일 쌍방울그룹만 단독으로 입찰에 들어갔다.

성정은 입찰 공고 전에 800억~900억원을 입찰가로 제안했다. 쌍방울은 본입찰에서 약 1000억원을 제시했고, 성정은 쌍방울이 써낸 금액으로 이스타항공을 인수하기로 했다.

성정은 충청도 부여에 본사가 있는 건설업체다. 골프장 관리업, 부동산임대업, 부동산개발업 등을 한다. 관계사로는 27홀 골프장인 백제컨트리클럽, 토목공사업체인 대국건설산업 등이 있다.
(...)

https://n.news.naver.com/article/025/0003110835"
8,질문,2021-06-17 23:31:53,TMV 오르지 않고 오히려 떨어지네요..,"반갑습니다~.
미국 10년 국채금리 상승에 배팅하는 TMV에 최근 투자했다가 갑자기 금리가 1.5이하로 떨어지면서 물려버렸습니다.
그런데 어제 FOMC 이후에 10년 국채금리가 제가 진입한 지점보다 오히려 상승해서 오늘밤 탈출하겠구나 생각했는데
오히려 지금 TMV는 오르지도 못하고 떨어지고 있네요? ㅠㅠ 
아래 그림의 윗선이 미국 국채금리, 아래가 TMV입니다. 
TMV는 10년 국채금리 상승분만큼 상승을 못하고 내려가고 있네요. 
매번 유사한 경향을 가지다가 이번에는 다르니, 당황스럽네요. 
왜이런지 아시거나 도움이 될 말씀 주린이에게 주시면 정말 감사하겠습니다."
9,잡담,2021-06-17 23:18:26,계좌를 7개 운영하는데..,"생각해보니 ISA하고 코인계좌까지 합치면 9개네요 ㅋ

원래는 키움만 쓰고 스윙 단타위주 매매를 했는데 작년 하반기에 장투가 하고 싶어져서 증권사별로 계좌를 따로 팠습니다.

근데 장투가 적성에 안맞네요 ㅋㅋ

결국 계좌 9개로 스윙하는 사태가.. 
더 빡시네요.

대신 신용은 유통융자로 많이 쓰게되어 좋더군요.
키움 하나만 쓸때는 자꾸 보아니까 팔게되고 그랬는데, 조금이라도 눈에 안보이니 며칠더 견디게 되는 점도 좋구요.

그래도 메인은 키움입니다. 차트보기 제일 편해요 ㅎ

조만간 키움외에 나머지는 정말 장투로 돌려야겠습니다.
가능할지 모르겠네요"
