,date,close,diff,diff_rate,volume, int_dff,frgn_dff,frgn_share,frgn_rate
0,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
1,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
2,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
3,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
4,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
5,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
6,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
7,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
8,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
9,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
10,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
11,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
12,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
13,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
14,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
15,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
16,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
17,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
18,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
19,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
20,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
21,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
22,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
23,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
24,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
25,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
26,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
27,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
28,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
29,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
30,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
31,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
32,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
33,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
34,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
35,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
