,title,link,content
0,"현대차, 방탄소년단과 '수소 에너지' 알린다",http://news.tf.co.kr/read/economy/1865496.htm,"현대차, BTS 출연 '수소 에너지' 다큐멘터리 예고 공개 현대자동차(현대차)는 세계 환경의 날(6월 5일)을 맞이해 방탄소년단이 출연하는 '수소 에너지' 주제의 다큐멘터리 예고편 영상을 공개했다고 3일 밝혔다. 현대차는..."
1,"현대차 고성능브랜드 N, 독일서 24시 내구레이스에 도전",http://www.etnews.com/20210603000026,"현대차가 이달 5∼6일(현지시각) 독일 뉘르부르크링 서킷에서 열리는 '2021 뉘르부르크링 24시 내구레이스... 현대차에 따르면 24시 내구레이스의 완주율은 보통 60∼70%대에 불과하며, 작년에는 총 97대가 출전해..."
2,"현대차·기아, 美서 3개월 연속 역대 최대판매…17만대 팔려",http://www.newsis.com/view/?id=NISX20210603_0001463353&cID=13001&pID=13000,"3일 현대차미국판매법인(HMA)에 따르면 현대차는 지난달 미국 시장에서 전년 동기 대비 56% 증가한 9만17대를 판매, 역대 최대 판매 기록을 세웠다. 이로써 현대차는 3개월 연속 최대 판매 기록을 경신했다...."
3,"현대차-방탄소년단, 환경의 날 맞아 ‘수소 에너지’ 알린다",https://www.donga.com/news/article/all/20210603/107251074/2,현대차는 2020년부터 방탄소년단과 함께 ‘비코우즈 오브 유’라는 슬로건 아래 미래 청정에너지 수소의... 현대차 ‘수소 에너지’ 다큐멘터리 예고편 영상은 3일 현대차 월드와이드 유튜브 및 현대 라이프스타일...
4,"""우리 회사는?""…삼성 LG 이어 현대차도 '백신휴가' 간다",http://news.mk.co.kr/newsRead.php?no=533686&year=2021,"현대차, 백신접종땐 2일 휴가 기아·모비스·로템도 도입 논의 한화·두산·LS그룹도 2~3일 일부선 휴가... 이어 현대차와 SK그룹도 백신휴가제 실시 대열에 동참한다. 주요 기업들의 뒤를 이어 재계 전반에 백신휴가제..."
5,"현대차 노사, 사회복지종사자·소상공인 지원금 1억원 기탁",http://yna.kr/AKR20210603108700057?did=1195m,"사회복지 종사자들은 10만 히어로 포인트(1포인트는 1원)를 받아 착한가게에서 사용할 수 있다. 현대차 관계자는 ""사회안전망을 지키기 위해 수고하는 지역 사회복지 종사자와 소상공인을 응원한다""고 말했다."
6,현대차 'H-모빌리티 클래스' 모집...전기차·자율주행차 교육,http://www.fnnews.com/news/202106020904470901,현대차는 2일 차량 전동화 및 자율주행차 분야의 국가경쟁력 강화를 지원하기 위해 국내 이공계 대학(원)생을... 현대차는 이번 프로그램 참가자로 이공계 대학(원)생 850명을 선발할 예정이다. 오는 16일 오전10시까지...
7,"현대차·기아, 5월 美 판매 17만대 넘어…3개월 연속 신기록",https://www.hankyung.com/economy/article/2021060320321,"현대차그룹은 현대차(제네시스 포함)와 기아가 지난달 미국에서 작년 동기 대비 66.1% 증가한 17만4043대를 판매한 것으로 집계됐다고 3일 밝혔다. 3월 14만4932대, 4월 15만994대에 이어 3개월 연속 월간 최다 판매..."
8,"현대차·기아, 품질향상 앞장서 준 협력사 찾아가 포상한다",http://www.edaily.co.kr/news/newspath.asp?newsid=01590806629077784,"현대차·기아 구매본부 김현태 상무, 일지테크 구준모 대표이사, 일지테크 김민철 노조위원장 현대자동차... 현대차와 기아는 코로나19 장기화로 힘든 대외 여건 속에서도 적극적인 협업을 통해 차량 개발에 기여한..."
9,삼성·현대차·SK·LG가 71대 그룹 매출·고용의 절반 차지,http://yna.kr/AKR20210602065000003?did=1195m,"국내 71개 기업집단(그룹)의 지난해 매출과 고용을 삼성, 현대차, SK, LG 등 4대 그룹이 이끌고 있는... 현대차 매출은 181조원(비중 11.3%), SK 139조원(8.7%), LG 123조원(7.7%) 순이었다. 4대 그룹의 매출 총액은..."
